Name,Website,MapsURL,Emails,Site_Title,Site_Description,LinkedIn,Facebook,Twitter,Instagram
Genora Infotech Pvt Ltd,http://www.genorainfotech.com/,"https://www.google.com/maps/place/Genora+Infotech+Pvt+Ltd/@15.3190098,73.9852192,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bbfb7501ae8d825:0x837d00f36b1caa33!8m2!3d15.2920161!4d73.9690413!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11g8vvw2tq?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","sweetalert2@10.15.5, Shriya.desai@genora.co.uk, startup@genora.co.uk","Mobile App Developers Goa, India | Mobile App Development Companies in Goa, India","Genora Infotech is one of the top-rated mobile app development companies based in Goa, India. Reach us to access the top rated mobile app developers.",,,,
Virtualwebs Servers Pvt. Ltd,http://virtualwebs.co/,"https://www.google.com/maps/place/Virtualwebs+Servers+Pvt.+Ltd/@15.2920161,73.816606,12z/data=!3m1!5s0x3bbfb17ae28e3e3d:0x30ad1cc27b3d94b9!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bbfb3e9086ef8f9:0x485d6e124c4e6b00!8m2!3d15.2964625!4d73.9735728!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F1v3lnd6z?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,,,,,,
Prism IT Solutions Pvt. Ltd.,https://www.prismitindia.com/,"https://www.google.com/maps/place/Prism+IT+Solutions+Pvt.+Ltd./@18.5197274,73.6781521,12z/data=!3m1!5s0x3bc2bf84cfd45a89:0xfc2102cf7caa976f!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c06d5f9aa37d:0xaae0e8539c59c5c8!8m2!3d18.5197274!4d73.8305874!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlNOa3BpTmxOQkVBReABAPoBBAgyEEg!16s%2Fg%2F1td36ppv?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",enquiry@prismitindia.com,Prism IT | TallyPrime dealer and tally partner in India,PrismIT is a company that deals with TallyPrime products and offers cloud backup services,https://www.linkedin.com/company/prism-it-solutions-pvt.-ltd/posts/?feedView=all,https://www.facebook.com/Prism-It-Solutions-Pvt-Ltd-107283461650243,https://twitter.com/Prism_it_solu,https://www.instagram.com/prismitsolutionspvt.ltd/
Coupa Software India Pvt. Ltd.,http://www.coupa.com/,"https://www.google.com/maps/place/Coupa+Software+India+Pvt.+Ltd./@18.5197274,73.6781521,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2bf7764347dd3:0xba3418883ef995ab!8m2!3d18.5311722!4d73.8296842!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkdiVmwyVTNwM1JSQULgAQD6AQQIABAM!16s%2Fg%2F11bw1ymjd6?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,Just a moment...,,,,,
CodeRelix - Tech & Software Consultancy,https://coderelix.com/,"https://www.google.com/maps/place/CodeRelix+-+Tech+%26+Software+Consultancy/@15.2885341,73.8008964,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bbfb16400000001:0xa39566db3cae8e48!8m2!3d15.2885341!4d73.9533317!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11jvd95rth?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",hi@coderelix.com,IT Consultancy & Services | Custom Software Development - CodeRelix,"Tailored solutions to streamline processes, expert guidance to navigate the digital landscape, and innovative products to boost productivity.",https://www.linkedin.com/company/code-relix/,https://www.facebook.com/coderelix/,https://coderelix.com/contact-us/,https://www.instagram.com/coderelix/
Codanto - Software Company In Goa,https://codanto.com/,"https://www.google.com/maps/place/Codanto+-+Software+Company+In+Goa/@15.2885341,73.8008964,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bbfc09aa049b003:0x35c2a2ec5d40f69b!8m2!3d15.4899004!4d73.832561!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11rql6q136?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","info@codanto.com, bootstrap@5.2.1",Software Company in Goa | Custom Software | Billing Software,"Codanto is an IT Software Development Company in Goa, India which focuses on providing complex business solutions with our cutting edge technology expertise.",https://www.linkedin.com/company/codanto/,https://www.facebook.com/codantosoftware,https://twitter.com/codantosoftware,https://www.instagram.com/codantosoftware/
Vertical Software - Software Company in Pune,https://www.verticalsoftware.co.in/,"https://www.google.com/maps/place/Vertical+Software+-+Software+Company+in+Pune/@18.499439,73.7877882,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c204d40770b7:0x6f7dc6db2f92152a!8m2!3d18.499439!4d73.9402235!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11c603_yq6?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",,403 Forbidden,,,,,
Thinkitive Technologies Private Limited,https://www.thinkitive.com/,"https://www.google.com/maps/place/Thinkitive+Technologies+Private+Limited/@18.499439,73.7877882,12z/data=!3m1!5s0x3bc2bec7c6ac94ab:0xfc194595a6b2c07!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2becdc35b6937:0x515ac559c349eee3!8m2!3d18.5563888!4d73.7729748!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjFialY2VUU5QkVBReABAPoBBAgAEA0!16s%2Fg%2F11c1s3l22w?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","hello@thinkitive.com, bootstrap@5.3.7, bootstrap@4.6.0, wght@200..800",Software Development Company | Thinkitive,Thinkitive is a leading software product development company. We provide software technology solutions & services to startups & enterprises.,https://www.linkedin.com/company/thinkitive,https://www.facebook.com/thinkitivetech,https://x.com/thinkitive2015,https://www.instagram.com/thinkitivetech/
Soft The Next,https://softthenext.com/,"https://www.google.com/maps/place/Soft+The+Next/@18.5563888,73.6205395,12z/data=!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2c10a9b1d66c3:0x3f238353c27a167c!8m2!3d18.4839993!4d73.8579815!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11fmqprx2x?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D",info@softthenext.com,Global IT Solutions & Custom ERP | Soft The Next,"Premier IT consultancy delivering Custom ERP, web development, and mobile app solutions. We help enterprises worldwide scale through digital transformatio",https://www.linkedin.com/company/softthenext/,https://www.facebook.com/softthenext,https://twitter.com/i/flow/login?redirect_after_login=%2FMehrunkarAshish,https://www.instagram.com/stn_softthenext/
Sumago Infotech Private Ltd.,https://www.sumagoinfotech.com/,"https://www.google.com/maps/place/Sumago+Infotech+Private+Ltd./@18.5563888,73.6205395,12z/data=!3m1!5s0x3bc2bf7c9eec2895:0xca0f1a03bd85966a!4m10!1m2!2m1!1sSoftware+Companies+in+pune,maharashtra,india!3m6!1s0x3bc2bf98297b9707:0xbc722f3713c3edac!8m2!3d18.5379863!4d73.8355656!15sCixTb2Z0d2FyZSBDb21wYW5pZXMgaW4gcHVuZSxtYWhhcmFzaHRyYSxpbmRpYVouIixzb2Z0d2FyZSBjb21wYW5pZXMgaW4gcHVuZSBtYWhhcmFzaHRyYSBpbmRpYZIBEHNvZnR3YXJlX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTkJkVTl5VjNOUlJSQULgAQD6AQQIOBAs!16s%2Fg%2F11vbbf5myq?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D","core@2.9.2, bootstrap-icons@1.10.5, wght@100..900, info@sumagoinfotech.com, bootstrap@5.3.0, info@example.cominfo, bootstrap-icons@1.11.1",Sumago Infotech Pvt. Ltd.,,https://in.linkedin.com/company/sumago-infotech-pvt-ltd,,,
