title,company,location,link,description,date_posted,entities_in_job,matched_profile_entities
"Sales and Marketing Internship in Hubballi, Panaji, Chitradurga, Dharwad (Hybrid)",DeCarbonic,Not Specified,https://in.linkedin.com/jobs/view/sales-and-marketing-internship-in-hubballi-panaji-chitradurga-dharwad-hybrid-at-decarbonic-4362366645?position=1&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=VgxdLwknZYPxx0aDe0jlXg%3D%3D,,3 days ago,"[{'text': 'Hubballi', 'label': 'GPE'}, {'text': 'Panaji', 'label': 'PERSON'}, {'text': 'Dharwad', 'label': 'PERSON'}, {'text': '3 days ago', 'label': 'DATE'}]",[]
Accounts Intern,SUN360,Not Specified,https://in.linkedin.com/jobs/view/accounts-intern-at-sun360-4355195121?position=2&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=y4TjflId7E58TQnIU%2BbrMg%3D%3D,,3 days ago,"[{'text': '3 days ago', 'label': 'DATE'}]",[]
"Reservation & CRM Agent Internship in Noida, North Goa (Hybrid)",Stay To Unwind Pvt Ltd,Not Specified,https://in.linkedin.com/jobs/view/reservation-crm-agent-internship-in-noida-north-goa-hybrid-at-stay-to-unwind-pvt-ltd-4361507200?position=3&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=6C1Spz36DSsN9wGQBpFRow%3D%3D,,4 days ago,"[{'text': 'Reservation & CRM', 'label': 'ORG'}, {'text': 'Noida', 'label': 'GPE'}, {'text': 'North Goa', 'label': 'LOC'}, {'text': '4 days ago', 'label': 'DATE'}]",[]
Intern – Content Writer (Technical) - Goa,SJ Innovation LLC,Not Specified,https://in.linkedin.com/jobs/view/intern-%E2%80%93-content-writer-technical-goa-at-sj-innovation-llc-4340582309?position=4&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=60RwujsNRuRCpE03cJ0M0g%3D%3D,,2 months ago,"[{'text': '2 months ago', 'label': 'DATE'}]",[]
Video Editing/Making Internship in Moira,Maker's Asylum,Not Specified,https://in.linkedin.com/jobs/view/video-editing-making-internship-in-moira-at-maker-s-asylum-4358166543?position=5&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=nBkXDGu%2BAQJHxq8VJR3ziQ%3D%3D,,1 week ago,"[{'text': ""Moira Maker's"", 'label': 'ORG'}, {'text': '1 week ago', 'label': 'DATE'}]",[]
Inside Sales Intern,SUN360,Not Specified,https://in.linkedin.com/jobs/view/inside-sales-intern-at-sun360-4342941880?position=6&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=ZFGFtQKxS1zOzVePMGZEbQ%3D%3D,,1 month ago,"[{'text': '1 month ago', 'label': 'DATE'}]",[]
Marketing Intern,SUN360,Not Specified,https://in.linkedin.com/jobs/view/marketing-intern-at-sun360-4359124625?position=7&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=PQF3j6FhCnzRLKB8JbKP7w%3D%3D,,3 days ago,"[{'text': '3 days ago', 'label': 'DATE'}]",[]
Video Editing/Making Internship in Margao,Haztech,Not Specified,https://in.linkedin.com/jobs/view/video-editing-making-internship-in-margao-at-haztech-4358295325?position=8&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=nH7Ag4GQJOjiAg1KJA9IcA%3D%3D,,1 week ago,"[{'text': '1 week ago', 'label': 'DATE'}]",[]
Content Writer Intern,Cidroy Infotech,Not Specified,https://in.linkedin.com/jobs/view/content-writer-intern-at-cidroy-infotech-4353009627?position=9&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=v9XJbGMreO6LtWb9mhqrnQ%3D%3D,,3 days ago,"[{'text': 'Content Writer Intern', 'label': 'ORG'}, {'text': '3 days ago', 'label': 'DATE'}]",[]
Interior Designer,Livspace,Not Specified,https://in.linkedin.com/jobs/view/interior-designer-at-livspace-4323659074?position=10&pageNum=0&refId=ZxlQ5URIsGU1fqkjSaYq3w%3D%3D&trackingId=9k7emo4rHtCcDlqkz%2FNq%2BA%3D%3D,,1 month ago,"[{'text': '1 month ago', 'label': 'DATE'}]",[]
